year,title,category,nominee,artist,nominated,decade
2019,62nd Annual GRAMMY Awards  (2019),Best Dance/Electronic Album,No Geography,The Chemical Brothers,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Dance/Electronic Album,LP5,Apparat,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Dance/Electronic Album,Hi This Is Flume (Mixtape),Flume,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Dance/Electronic Album,SOLACE,RÜFÜS DU SOL,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Dance/Electronic Album,Weather,Tycho Featuring Saint Sinner,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Instrumental Album,Mettavolution,Rodrigo y Gabriela,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Instrumental Album,Ancestral Recall,Christian Scott aTunde Adjuah,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Instrumental Album,Star People Nation,Theo Croker,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Instrumental Album,Beat Music! Beat Music! Beat Music!,Mark Guiliana,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Contemporary Instrumental Album,Elevate,Lettuce,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Performance,This Land,Gary Clark Jr.,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Performance,Pretty Waste,Bones UK,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Performance,History Repeats,Brittany Howard,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Performance,Woman,Karen O & Danger Mouse,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Rock Performance,Too Bad,Rival Sons,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,7empest,Tool,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,Humanicide,Death Angel,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,Bow Down,I Prevail,True,2010
2019,62nd Annual GRAMMY Awards  (2019),Best Metal Performance,Unleashed,Killswitch Engage,True,2010
